model,domain,concept,run,job_done,n_eval,locus,arm,alphas_admissible,alphas_monotone,alpha_used,degraded_at_every_alpha,baseline_p_yes,concept_effect,concept_slope,n_random,rand_mean,rand_sd,rand_p95_abs,sham_effect,beats_sham,n_unrelated,unrel_mean,unrel_max_abs,beats_all_unrelated,rand_rank,n_random_expected,full_random_band,sign_as_expected,selective,effect_size_z,dead_locus,alpha_extreme,concept_effect_extreme,rand_mean_extreme
lingshu7b,medical,Cardiomegaly,int_lingshu7b_cardiomegaly,True,96,llm.L0.vis,neg,-0.25|-0.5,-0.25|-0.5,-0.5,False,0.21793141380961364,-0.03006788349011913,0.060135766980238425,16,0.011014170630308693,0.01748675527087,0.032285146926975976,0.0371850546556137,False,4,0.011147530053373579,0.03541023683404396,False,13,16,True,True,False,-2.3493240160376483,False,-1.0,-0.049047987112620234,0.02371590568539734
lingshu7b,medical,Cardiomegaly,int_lingshu7b_cardiomegaly,True,96,llm.L0.vis,pos,0.25|0.5,0.25|0.5,0.5,False,0.21793141380961364,0.0746199207593842,0.14923984151876857,16,0.015637787475498034,0.019028502884381022,0.0432258597393229,-0.006585016186969994,True,4,0.021312462528536934,0.033853833980780706,True,16,16,True,True,True,3.0996728246182674,False,1.0,0.17381752972141837,0.024447178435972692
lingshu7b,medical,Cardiomegaly,int_lingshu7b_cardiomegaly,True,96,llm.L14.ans,neg,-0.25|-0.5,-0.25|-0.5,-0.5,False,0.21793141380961364,0.02437588903315674,-0.04875177806631345,16,-0.003594171663356377,0.01662198268235694,0.028394623208744932,0.010465293778300577,True,4,-0.007783853444076769,0.023615464378963225,True,14,16,True,False,False,1.6827150666088324,False,-1.0,-0.028819966692632704,-0.02139777065103015
lingshu7b,medical,Cardiomegaly,int_lingshu7b_cardiomegaly,True,96,llm.L14.ans,pos,0.25|0.5,0.25|0.5,0.5,False,0.21793141380961364,-0.025570054014679044,-0.051140108029357964,16,-0.008982661198084928,0.01480411192621892,0.026285213992499244,-0.010635473615063062,True,4,-3.4619407718629314e-05,0.015623510621177672,True,14,16,True,False,False,-1.1204584847279428,False,1.0,-0.0522385487262606,-0.026543136346163017
lingshu7b,medical,Cardiomegaly,int_lingshu7b_cardiomegaly,True,96,llm.L14.vis,neg,-0.25|-0.5,-0.25|-0.5,-0.5,False,0.21793141380961364,-0.04152609973971266,0.08305219947942534,16,-0.017432489845001946,0.03713303521552009,0.07151416014433684,0.0212137931084726,True,4,-0.015969377722891913,0.05934156114623573,False,10,16,True,True,False,-0.6488456910368742,False,-1.0,-0.09596246535268924,-0.06172045986507632
lingshu7b,medical,Cardiomegaly,int_lingshu7b_cardiomegaly,True,96,llm.L14.vis,pos,0.25|0.5,0.25|0.5,0.5,False,0.21793141380961364,-0.02513823668899326,-0.05027647337798634,16,-0.01403621696166133,0.040715131832035616,0.06110419795732012,-0.05090135626475484,False,4,-0.02435556605996682,0.04927879525833609,False,5,16,True,False,False,-0.27267551958646985,False,1.0,-0.12377943646182152,-0.059814629784038224
lingshu7b,medical,Cardiomegaly,int_lingshu7b_cardiomegaly,True,96,llm.L21.ans,neg,-0.25|-0.5,-0.25|-0.5,-0.5,False,0.21793141380961364,0.004647167283110321,-0.009294334566220634,16,-0.0011947064040214242,0.01945189754900418,0.03530012560077012,-0.03387344580551144,False,4,-0.005118688790995911,0.014138470328665192,False,2,16,True,False,False,0.30032410320970526,False,-1.0,0.010694858472561464,-0.02501260061899303
lingshu7b,medical,Cardiomegaly,int_lingshu7b_cardiomegaly,True,96,llm.L21.ans,pos,0.25|0.5,0.25|0.5,0.5,False,0.21793141380961364,-0.009012760628441668,-0.018025521256883274,16,-0.0062902678857123424,0.01951589110771924,0.03649550150051558,0.04202471835499941,False,4,-0.0025166903057349185,0.017522513391062006,False,6,16,True,False,False,-0.13950132882492267,False,1.0,-0.03720229190730606,-0.0246418488825763
lingshu7b,medical,Cardiomegaly,int_lingshu7b_cardiomegaly,True,96,llm.L21.vis,neg,-0.25|-0.5|-1,-0.25,-0.25,False,0.21793141380961364,-0.002053503344844415,0.008214013379377808,16,0.00040438185624224257,0.0012462325036117043,0.002011981295557533,-0.0016193841778052442,True,4,-0.00028911988313969766,0.001334071950016863,True,15,16,True,True,True,-1.9722525242789486,False,-1.0,-0.00018698924880786172,-0.0007787459398969146
lingshu7b,medical,Cardiomegaly,int_lingshu7b_cardiomegaly,True,96,llm.L21.vis,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.21793141380961364,0.001239633250709915,0.0013109586168345677,16,0.0013549753933451269,0.0039036457381004855,0.00830489561364326,0.0005508041358552873,True,4,0.002266711869500178,0.005208596858816833,False,6,16,True,True,False,-0.02954728742658327,False,1.0,0.001239633250709915,0.0013549753933451269
