model_key,dataset_id,status,modules_complete,modules_ineligible,n_concepts,readable,answer_capable,owned,owned_concepts,readable_concepts,capable_concepts,eligible_templates,primary_template,gpu_hours,altdir_owned_dom_pattern_orth_resid
q3-8,nih,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,4,6,0,,"Cardiomegaly, Effusion, Mass, Pneumothorax","Atelectasis, Cardiomegaly, Effusion, Mass, Nodule, Pneumothorax",,IY,26.129,
q3-8,chexpert,COMPLETE,CORE+CALIBRATION,,6,4,4,0,,"Cardiomegaly, Consolidation, Edema, Effusion","Cardiomegaly, Consolidation, Edema, Effusion",IYWYIAIBWAWB,IY,5.06,
q3-8,coco,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,3,5,6,"bicycle, bottle, car, chair, dog, person","bottle, car, person","bottle, car, chair, dog, person",IYWYIAIBWAWB,IY,20.246,
q3-32,nih,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,2,6,1,Nodule,"Atelectasis, Cardiomegaly","Atelectasis, Cardiomegaly, Effusion, Mass, Nodule, Pneumothorax",IYWYIAIBWAWB,IY,106.17,
q3-32,chexpert,COMPLETE,CORE+CALIBRATION,,6,5,5,1,Edema,"Cardiomegaly, Consolidation, Edema, Effusion, Pneumothorax","Cardiomegaly, Consolidation, Edema, Effusion, Pneumothorax",IYWYIAIBWAWB,IY,28.203,
q3-32,coco,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,4,5,6,"bicycle, bottle, car, chair, dog, person","bottle, car, chair, person","bottle, car, chair, dog, person",IYWYIAIBWAWB,IY,98.391,
iv35-8,nih,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,2,6,0,,"Cardiomegaly, Mass","Atelectasis, Cardiomegaly, Effusion, Mass, Nodule, Pneumothorax",IYWYIAIBWAWB,IY,19.463,
iv35-8,chexpert,COMPLETE,CORE+CALIBRATION,,6,4,5,1,Pneumothorax,"Cardiomegaly, Consolidation, Edema, Effusion","Cardiomegaly, Consolidation, Edema, Effusion, Pneumothorax",IYWYIAIBWAWB,IY,4.3,
iv35-8,coco,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,5,5,6,"bicycle, bottle, car, chair, dog, person","bottle, car, chair, dog, person","bottle, car, chair, dog, person",IYWYIAIBWAWB,IY,17.992,
iv35-14,nih,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,4,6,1,Effusion,"Atelectasis, Cardiomegaly, Effusion, Pneumothorax","Atelectasis, Cardiomegaly, Effusion, Mass, Nodule, Pneumothorax",IYWYIAIBWAWB,IY,29.302,
iv35-14,chexpert,COMPLETE,CORE+CALIBRATION,,6,4,5,1,Effusion,"Cardiomegaly, Consolidation, Edema, Effusion","Cardiomegaly, Consolidation, Edema, Effusion, Pneumothorax",IYWYIAIBWAWB,IY,4.711,
