pair,concept,kind,locus_a,locus_b,sel_a,sel_a_lo,sel_a_hi,sel_b,sel_b_lo,sel_b_hi,gap,width_a,width_b,gap_gt_widths,intervals_disjoint,gap_lo,gap_hi,paired_excludes_zero,gap_p_boot,sel_a_positive,sel_b_positive,stored_peak_a,stored_peak_b,own_peak_matches_stored,gap_bh_sig,bh_family
lingshu7b_vs_qwen7b,Atelectasis,common,vis.block24,vis.block24,0.11220883036176288,0.07585266780190507,0.1485396921545032,0.1272577653117163,0.0912263617234047,0.16368860796737492,-0.015048934949953408,0.07268702435259812,0.07246224624397021,False,False,-0.042026211880147456,0.011219020932912814,False,0.2748625687156422,True,True,llm.L21.ans,connector,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Atelectasis,common,vis.block4,vis.block4,0.08718859723311867,0.04620771397071573,0.12543830345598178,0.07849972657258253,0.03882692310180723,0.11606313259375638,0.008688870660536141,0.07923058948526605,0.07723620949194915,False,False,-0.009204396791756154,0.026169059984385956,False,0.3458270864567716,True,True,llm.L21.ans,connector,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Atelectasis,common,vis.block8,vis.block8,0.09653538993882904,0.061200294345169784,0.1312358970772912,0.11503087300673387,0.0785275059571252,0.1487430747343504,-0.018495483067904828,0.07003560273212141,0.07021556877722519,False,False,-0.03710674066096544,0.002310566045343868,False,0.07496251874062969,True,True,llm.L21.ans,connector,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Atelectasis,common,vis.last,vis.last,0.1544324775132051,0.11498412427281478,0.19177155610762325,0.11274834881986939,0.07440966201466473,0.1496782561041818,0.04168412869333571,0.07678743183480848,0.07526859408951708,False,False,0.013788729906082153,0.06818664669990539,True,0.0029985007496251873,True,True,llm.L21.ans,connector,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,own_peak,llm.L27.ans,vis.block20,0.17666869340069835,0.13204815001723502,0.21501905144645397,0.13011146642451166,0.08214073364752429,0.172009142114074,0.046557226976186694,0.08297090142921895,0.08986840846654971,False,False,0.02086910083889961,0.07432483825832605,True,0.001999000499750125,True,True,llm.L18.ans,vis.block20,False,True,lingshu7b_vs_qwen7b:own_peak(n=9)
lingshu7b_vs_qwen7b,Pneumothorax,common,connector,connector,0.12042361613962849,0.07192709698629371,0.16212688098598482,0.05101850617014947,0.0024592842245558856,0.09558967001049619,0.06940510996947902,0.09019978399969111,0.09313038578594031,False,False,0.02703260686248541,0.11097987219691277,True,0.0009995002498750624,True,True,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,llm.L10.ans,llm.L10.ans,0.08208891645168492,0.03648094755238443,0.1186021835659852,-0.006818913749064848,-0.058849434677563366,0.04143527667489981,0.08890783020074977,0.08212123601360077,0.10028471135246317,False,False,0.051479851827025414,0.128880812972784,True,0.0009995002498750624,True,False,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,llm.L16.ans,llm.L16.ans,0.15634564491159775,0.11571227119453767,0.194270629992723,-0.01502847959226572,-0.061687152982666534,0.034712212504580175,0.17137412450386347,0.07855835879818532,0.0963993654872467,True,True,0.12322998587042093,0.21993351243436335,True,0.0009995002498750624,True,False,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,llm.L18.ans,llm.L18.ans,0.17603234428129144,0.13501391867306253,0.21069675704843183,0.006799575548357639,-0.04425083938184066,0.05750949632832091,0.1692327687329338,0.0756828383753693,0.10176033571016158,True,True,0.12030815742909909,0.21541772447526453,True,0.0009995002498750624,True,True,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,llm.L20.vis,llm.L20.vis,0.1673464190362287,0.12670140752921458,0.2035629109767828,0.03287131984915337,-0.027826279482009882,0.08300937653807419,0.13447509918707534,0.07686150344756823,0.11083565602008408,True,True,0.08771893698722125,0.18851879425346846,True,0.0009995002498750624,True,True,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,llm.L21.ans,llm.L21.ans,0.17222671674286727,0.13100126431651257,0.20994831109162101,-0.021776459045708907,-0.07515050679923396,0.02861287223677971,0.19400317578857618,0.07894704677510844,0.10376337903601368,True,True,0.1482840020209551,0.2417767360806465,True,0.0009995002498750624,True,False,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,llm.L22.ans,llm.L22.ans,0.1691248749193931,0.1291805851819643,0.20650397673925364,0.01431742647745593,-0.037646515938583244,0.061021642618718515,0.15480744844193717,0.07732339155728934,0.09866815855730177,True,True,0.11214726939797401,0.1978714771568775,True,0.0009995002498750624,True,True,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,llm.L23.vis,llm.L23.vis,0.1693808960152785,0.13245534543511991,0.2046645023903979,0.009885699547508175,-0.05074856239530963,0.0607815754798205,0.15949519646777033,0.07220915695527799,0.11153013787513014,True,True,0.11786782536655664,0.21187799833714963,True,0.0009995002498750624,True,True,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,llm.L25.ans,llm.L25.ans,0.17069520248031145,0.12819740222917353,0.2080553278112359,0.0015377948162346167,-0.04434218984316446,0.04688876486420793,0.16915740766407683,0.07985792558206237,0.09123095470737239,True,True,0.12750583812594413,0.21154647804796695,True,0.0009995002498750624,True,True,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,llm.L27.ans,llm.L27.ans,0.17666869340069835,0.13204815001723502,0.21501905144645397,0.00406706489185471,-0.04788609686397655,0.05231795533565982,0.17260162850884364,0.08297090142921895,0.10020405219963638,True,True,0.13245917111635208,0.21401967927813528,True,0.0009995002498750624,True,True,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,llm.L27.vis,llm.L27.vis,0.1581060576826432,0.11735847851205922,0.1939267230626539,0.013189772020397506,-0.031876802331872414,0.05654730417394779,0.14491628566224568,0.07656824455059469,0.08842410650582021,True,True,0.10312382411211729,0.18291880786418915,True,0.0009995002498750624,True,True,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,llm.L3.vis,llm.L3.vis,0.11451366165057075,0.06434476708441579,0.15882460983138802,0.07004903154147613,0.02799364937279526,0.11022501587788933,0.04446463010909463,0.09447984274697223,0.08223136650509406,False,False,0.0097194894682616,0.07690220326185224,True,0.01199400299850075,True,True,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,llm.L8.ans,llm.L8.ans,0.06964702909816367,0.018990602107139373,0.11586539688111137,-0.031205162902832817,-0.08833236163830173,0.02156466391895563,0.10085219200099649,0.096874794773972,0.10989702555725736,False,False,0.062206968944519755,0.1420484736561775,True,0.0009995002498750624,True,False,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,vis.block20,vis.block20,0.12355531566526756,0.076402640301874,0.1677886471259265,0.13011146642451166,0.08214073364752429,0.172009142114074,-0.006556150759244095,0.0913860068240525,0.08986840846654971,False,False,-0.02866692580282688,0.013378416001796683,False,0.5067466266866567,True,True,llm.L18.ans,vis.block20,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,vis.block24,vis.block24,0.1152095108578215,0.06359043228145943,0.16159450312804044,0.10813744028962113,0.06326696053641379,0.14984078502115616,0.0070720705682003615,0.09800407084658101,0.08657382448474238,False,False,-0.019564745016396046,0.030509855039417742,False,0.6146926536731634,True,True,llm.L18.ans,vis.block20,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,vis.block4,vis.block4,0.08282037676085463,0.02522896537959164,0.13601320481000978,0.08573808778341196,0.027766349783930624,0.1371432200397534,-0.0029177110225573344,0.11078423943041814,0.10937687025582278,False,False,-0.0212434362154454,0.015260852128267272,False,0.7566216891554223,True,True,llm.L18.ans,vis.block20,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,vis.block8,vis.block8,0.10219752115783332,0.05064158120702526,0.14852039612167894,0.09129301766389608,0.03900884191613237,0.13986966624772407,0.010904503493937234,0.09787881491465368,0.1008608243315917,False,False,-0.0071427829563617705,0.029565520212054244,False,0.25687156421789104,True,True,llm.L18.ans,vis.block20,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Pneumothorax,common,vis.last,vis.last,0.11939067343174559,0.06835266951521897,0.16451227232874302,0.07182514153684816,0.022148103993874606,0.11676861198081818,0.04756553189489743,0.09615960281352405,0.09462050798694358,False,False,0.01987628098577261,0.0737014703452587,True,0.001999000499750125,True,True,llm.L18.ans,vis.block20,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Consolidation,own_peak,llm.L27.ans,llm.L22.ans,0.10056748980734076,0.058761001048903826,0.1413423209860455,0.1080004735782234,0.0613677044372501,0.14979719284894544,-0.00743298377088264,0.08258131993714166,0.08842948841169535,False,False,-0.04512462262064219,0.0316500250250101,False,0.7106446776611695,True,True,llm.L21.ans,llm.L22.ans,False,False,lingshu7b_vs_qwen7b:own_peak(n=9)
lingshu7b_vs_qwen7b,Consolidation,common,connector,connector,0.0558285860424762,0.011151412759826493,0.0975424152687841,0.04640150019067657,0.0012122423310490294,0.08877032972232023,0.009427085851799633,0.0863910025089576,0.0875580873912712,False,False,-0.02139721205458045,0.04206490637734531,False,0.5817091454272864,True,True,llm.L21.ans,llm.L22.ans,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Consolidation,common,llm.L10.ans,llm.L10.ans,0.08254405939052734,0.03958102693465726,0.12145799594638382,0.08115773011395166,0.03662193045644363,0.12494771426559226,0.0013863292765756707,0.08187696901172656,0.08832578380914863,False,False,-0.03220595940947533,0.035410854779183855,False,0.8925537231384307,True,True,llm.L21.ans,llm.L22.ans,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Consolidation,common,llm.L16.ans,llm.L16.ans,0.09040981876305276,0.048969133428781085,0.12537853613728414,0.0834921437956957,0.03685194768342395,0.12706670705569661,0.006917674967357068,0.07640940270850305,0.09021475937227266,False,False,-0.03119620531797409,0.046333257295191284,False,0.7096451774112944,True,True,llm.L21.ans,llm.L22.ans,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Consolidation,common,llm.L18.ans,llm.L18.ans,0.07620712115758321,0.033671765363902824,0.11582644299962312,0.09079338183582275,0.04082747677086202,0.13655560559959332,-0.014586260678239538,0.08215467763572029,0.0957281288287313,False,False,-0.053435168042778966,0.02085039843805134,False,0.45177411294352826,True,True,llm.L21.ans,llm.L22.ans,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Consolidation,common,llm.L20.vis,llm.L20.vis,0.07283999203159308,0.03193073871783343,0.11100852971658355,0.0391423209729963,-0.006827572933910467,0.08243329350554639,0.03369767105859678,0.07907779099875012,0.08926086643945685,False,False,-0.0023076587356626985,0.06988670546561479,False,0.07196401799100449,True,True,llm.L21.ans,llm.L22.ans,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Consolidation,common,llm.L21.ans,llm.L21.ans,0.09974312906294636,0.05649553815312247,0.1376294184026717,0.092108694647554,0.044874060029979373,0.13655638500324693,0.007634434415392355,0.08113388024954923,0.09168232497326756,False,False,-0.03305281326174736,0.050729091186076374,False,0.7156421789105447,True,True,llm.L21.ans,llm.L22.ans,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Consolidation,common,llm.L22.ans,llm.L22.ans,0.09767152174703786,0.05569140602934766,0.13663694133318915,0.1080004735782234,0.0613677044372501,0.14979719284894544,-0.01032895183118554,0.08094553530384149,0.08842948841169535,False,False,-0.04838769342750311,0.02967043900862334,False,0.607696151924038,True,True,llm.L21.ans,llm.L22.ans,,False,lingshu7b_vs_qwen7b:common(n=162)
