arch,domain,concept,beta,dh_norm,locus,placement,cos_probe,cos_random,cos_cad,cos_cad_nospec,cos_sham
lingshu7b,medical,nodule,0.6,4.0701,llm.L7.vis,anatomical,-0.0052,0.0057,,,
lingshu7b,medical,nodule,0.6,5.7771,llm.L14.vis,anatomical,0.0005,-0.0062,,,
lingshu7b,medical,nodule,0.6,10.4895,llm.L21.vis,anatomical,-0.0008,-0.0096,,,
llava15_7b,general,consolidation,0.05,0.3398,vis.last,anatomical,-0.0089,-0.0197,,,
llava15_7b,general,consolidation,0.05,0.3774,connector,anatomical,-0.0021,0.0255,,,
llava15_7b,general,consolidation,0.05,0.4323,llm.L8.vis,anatomical,-0.0003,0.0157,,,
llava15_7b,general,consolidation,0.05,0.4569,llm.L16.vis,anatomical,-0.0019,0.0059,,,
llava15_7b,general,consolidation,0.05,0.6683,llm.L24.vis,anatomical,-0.0021,-0.0026,,,
llava15_7b,general,consolidation,0.1,0.4023,vis.last,anatomical,0.0037,-0.0472,,,
llava15_7b,general,consolidation,0.1,0.4576,connector,anatomical,0.0004,0.0076,,,
llava15_7b,general,consolidation,0.1,0.5218,llm.L8.vis,anatomical,-0.002,0.0051,,,
llava15_7b,general,consolidation,0.1,0.551,llm.L16.vis,anatomical,0.0018,-0.012,,,
llava15_7b,general,consolidation,0.1,0.8149,llm.L24.vis,anatomical,-0.0006,-0.0251,,,
llava15_7b,general,consolidation,0.2,0.5345,vis.last,anatomical,0.0237,-0.0448,,,
llava15_7b,general,consolidation,0.2,0.578,connector,anatomical,0.0028,0.0217,,,
llava15_7b,general,consolidation,0.2,0.6165,llm.L8.vis,anatomical,0.0028,0.0145,,,
llava15_7b,general,consolidation,0.2,0.6653,llm.L16.vis,anatomical,0.0032,-0.0072,,,
llava15_7b,general,consolidation,0.2,1.0319,llm.L24.vis,anatomical,-0.0011,-0.0175,,,
llava15_7b,general,consolidation,0.3,0.7326,vis.last,anatomical,0.0233,-0.0211,,,
llava15_7b,general,consolidation,0.3,0.7162,connector,anatomical,0.0021,0.0091,,,
llava15_7b,general,consolidation,0.3,0.728,llm.L8.vis,anatomical,-0.0001,-0.0013,,,
llava15_7b,general,consolidation,0.3,0.8082,llm.L16.vis,anatomical,0.0037,-0.0152,,,
llava15_7b,general,consolidation,0.3,1.3171,llm.L24.vis,anatomical,-0.0019,-0.0206,,,
llava15_7b,general,consolidation,0.45,1.0663,vis.last,anatomical,0.0261,-0.0048,,,
llava15_7b,general,consolidation,0.45,0.9525,connector,anatomical,0.0015,0.0021,,,
llava15_7b,general,consolidation,0.45,0.9101,llm.L8.vis,anatomical,-0.0005,-0.0039,,,
llava15_7b,general,consolidation,0.45,1.0379,llm.L16.vis,anatomical,0.0045,-0.0168,,,
llava15_7b,general,consolidation,0.45,1.7807,llm.L24.vis,anatomical,-0.0031,-0.0214,,,
llava15_7b,general,consolidation,0.6,1.3696,vis.last,anatomical,0.0292,0.0022,,,
llava15_7b,general,consolidation,0.6,1.1601,connector,anatomical,0.0014,0.0033,,,
llava15_7b,general,consolidation,0.6,1.0558,llm.L8.vis,anatomical,-0.0007,0.002,,,
llava15_7b,general,consolidation,0.6,1.2117,llm.L16.vis,anatomical,0.0048,-0.0132,,,
llava15_7b,general,consolidation,0.6,2.1264,llm.L24.vis,anatomical,-0.0021,-0.0209,,,
