run_id,model_key,dataset_id,module,locus_id,fit_seed,template_id,concept,expected_rows,actual_unique_rows,failed_rows,execution_status,baseline_module,baseline_fit_seed,reason
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PRECISION,vis.last,0,IY,bottle,50800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PRECISION,vis.last,0,IY,bicycle,50800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIR,vis.last,0,IY,person,4200,4200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIR,vis.last,0,IY,dog,4200,4200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIR,vis.last,0,IY,car,4200,4200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIR,vis.last,0,IY,chair,4200,4200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIR,vis.last,0,IY,bottle,4200,4200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIR,vis.last,0,IY,bicycle,4200,4200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ALTDIRD,vis.last,0,IY,person,7200,7200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ALTDIRD,vis.last,0,IY,dog,7200,7200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ALTDIRD,vis.last,0,IY,car,7200,7200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ALTDIRD,vis.last,0,IY,chair,7200,7200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ALTDIRD,vis.last,0,IY,bottle,7200,7200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ALTDIRD,vis.last,0,IY,bicycle,7200,7200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ATTR,vis.last,,,,0,0,0,NOT_REQUESTED,CORE,,module not requested for this dataset by protocol
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WY,person,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WY,dog,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WY,car,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WY,chair,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WY,bottle,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WY,bicycle,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,IA,person,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,IA,dog,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,IA,car,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,IA,chair,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,IA,bottle,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,IA,bicycle,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,IB,person,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,IB,dog,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,IB,car,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,IB,chair,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,IB,bottle,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,IB,bicycle,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WA,person,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WA,dog,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WA,car,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WA,chair,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WA,bottle,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WA,bicycle,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WB,person,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WB,dog,4800,4800,0,COMPLETE,,,
